Rank,Feature,Importance
0,46,0.06432502399718594
1,114,0.05493932387516625
2,24,0.05109324125840157
3,101,0.04933932689836303
4,62,0.04127174783155442
5,69,0.03723562298182999
6,140,0.0356481023671876
7,5,0.03534026058900099
8,122,0.03457458072596893
9,121,0.033247118685066045
10,82,0.03296783976735113
11,113,0.029742034353074785
12,11,0.024707182139358578
13,172,0.02089103532637169
14,128,0.0201890503743261
15,111,0.01962075003934898
16,65,0.018573334230826574
17,136,0.01852876114257919
18,107,0.01841136832586905
19,150,0.01787360776442183
20,63,0.016547731154968125
21,21,0.0164955527256121
22,32,0.0127169992944334
23,13,0.012467351590912007
24,213,0.011149197273214562
25,212,0.010652419071594256
26,147,0.009884749798295197
27,240,0.009415827268114218
28,171,0.008924441047036755
29,131,0.008860357756644028
30,123,0.007612140565839993
31,61,0.0075819888664694635
32,100,0.0064603647393597745
33,194,0.006257888298257226
34,48,0.005760993721324837
35,54,0.005609204800489964
36,20,0.005480551873249981
37,71,0.005442878136617368
38,97,0.005322424912366535
39,30,0.005055401138244198
40,120,0.0050451458073174985
41,139,0.004390615110714566
42,17,0.004377036179304493
43,90,0.004351806403006512
44,52,0.0040999274907746915
45,235,0.004099381848884926
46,34,0.004063855769929239
47,164,0.0037299745423420095
48,42,0.003611976883357446
49,43,0.0035812742105683464
50,84,0.003371768607134069
51,156,0.003339643111448957
52,99,0.003326127264819183
53,112,0.003256261208509399
54,187,0.003210179815122215
55,137,0.0031042630828589466
56,31,0.0030402805726600234
57,67,0.0029903515846319783
58,125,0.0029554140196822137
59,229,0.0029485578356549373
60,196,0.0029383413722594213
61,45,0.002912409870279179
62,241,0.0028755025222399365
63,8,0.0028694062908187273
64,242,0.0027929718997904444
65,73,0.0027406997228851373
66,66,0.0025381587315768755
67,224,0.002534533996332044
68,226,0.002523417550675997
69,233,0.0025048683714545294
70,80,0.0024465585977255593
71,105,0.00244347450430046
72,7,0.002268709946289838
73,195,0.0022400341795023853
74,18,0.00218914672707264
75,203,0.0021764910470493666
76,96,0.0021580952005246915
77,4,0.0020415066831074693
78,64,0.001945881197093053
79,115,0.0019442092255918977
80,58,0.0018305991447516495
81,206,0.0017804541260264394
82,188,0.0017233480817910162
83,189,0.001700301174151888
84,157,0.0016756398661326216
85,132,0.0016697573151825684
86,239,0.001617301017473477
87,219,0.001513588645813376
88,225,0.0015025351686297
89,70,0.0014415046622783495
90,118,0.0013557102150045836
91,193,0.0013507880410974834
92,6,0.001342549128802848
93,149,0.0013356832678335588
94,236,0.0013108848744645546
95,217,0.0012749455828597975
96,41,0.0012468695315397673
97,234,0.0011879056115168965
98,197,0.0011714713088263587
99,29,0.0011534962620723792
100,167,0.0011496291363094209
101,218,0.0011341730946966468
102,207,0.0011188375719004774
103,144,0.0011100402299166693
104,124,0.0011060986351960113
105,214,0.0010617726841806235
106,230,0.0010515261966129361
107,183,0.0010335220496884723
108,165,0.001010528219790737
109,37,0.0009784360150111987
110,53,0.0009485988447049756
111,28,0.0009154671291531819
112,38,1.4750013505384356e-09
113,85,0.0
114,2,0.0
115,79,0.0
116,78,0.0
117,3,0.0
118,77,0.0
119,76,0.0
120,75,0.0
121,83,0.0
122,72,0.0
123,74,0.0
124,81,0.0
125,1,0.0
126,60,0.0
127,68,0.0
128,44,0.0
129,25,0.0
130,26,0.0
131,27,0.0
132,23,0.0
133,33,0.0
134,22,0.0
135,35,0.0
136,36,0.0
137,39,0.0
138,19,0.0
139,40,0.0
140,87,0.0
141,47,0.0
142,9,0.0
143,16,0.0
144,49,0.0
145,50,0.0
146,51,0.0
147,15,0.0
148,14,0.0
149,55,0.0
150,12,0.0
151,56,0.0
152,57,0.0
153,59,0.0
154,10,0.0
155,86,0.0
156,244,0.0
157,88,0.0
158,89,0.0
159,198,0.0
160,192,0.0
161,191,0.0
162,190,0.0
163,186,0.0
164,185,0.0
165,184,0.0
166,182,0.0
167,181,0.0
168,180,0.0
169,179,0.0
170,178,0.0
171,177,0.0
172,176,0.0
173,175,0.0
174,174,0.0
175,173,0.0
176,170,0.0
177,169,0.0
178,199,0.0
179,200,0.0
180,201,0.0
181,221,0.0
182,238,0.0
183,237,0.0
184,232,0.0
185,231,0.0
186,228,0.0
187,227,0.0
188,223,0.0
189,222,0.0
190,220,0.0
191,202,0.0
192,216,0.0
193,215,0.0
194,211,0.0
195,210,0.0
196,209,0.0
197,208,0.0
198,205,0.0
199,204,0.0
200,168,0.0
201,166,0.0
202,163,0.0
203,106,0.0
204,126,0.0
205,243,0.0
206,119,0.0
207,117,0.0
208,116,0.0
209,110,0.0
210,109,0.0
211,108,0.0
212,104,0.0
213,129,0.0
214,103,0.0
215,102,0.0
216,98,0.0
217,95,0.0
218,94,0.0
219,93,0.0
220,92,0.0
221,91,0.0
222,127,0.0
223,130,0.0
224,162,0.0
225,151,0.0
226,161,0.0
227,160,0.0
228,159,0.0
229,158,0.0
230,155,0.0
231,154,0.0
232,153,0.0
233,152,0.0
234,148,0.0
235,133,0.0
236,146,0.0
237,145,0.0
238,143,0.0
239,142,0.0
240,141,0.0
241,138,0.0
242,135,0.0
243,134,0.0
244,0,0.0
