Rank,Feature,Importance
0,114,0.0013454498242332382
1,213,0.0006211559135952902
2,140,3.339426217147137e-05
3,76,0.0
4,88,0.0
5,87,0.0
6,86,0.0
7,85,0.0
8,84,0.0
9,83,0.0
10,82,0.0
11,81,0.0
12,80,0.0
13,79,0.0
14,78,0.0
15,77,0.0
16,75,0.0
17,90,0.0
18,74,0.0
19,73,0.0
20,72,0.0
21,71,0.0
22,70,0.0
23,69,0.0
24,68,0.0
25,67,0.0
26,66,0.0
27,65,0.0
28,64,0.0
29,63,0.0
30,62,0.0
31,89,0.0
32,244,0.0
33,60,0.0
34,105,0.0
35,118,0.0
36,117,0.0
37,116,0.0
38,115,0.0
39,113,0.0
40,112,0.0
41,111,0.0
42,110,0.0
43,109,0.0
44,108,0.0
45,107,0.0
46,106,0.0
47,104,0.0
48,91,0.0
49,103,0.0
50,102,0.0
51,101,0.0
52,100,0.0
53,99,0.0
54,98,0.0
55,97,0.0
56,96,0.0
57,95,0.0
58,94,0.0
59,93,0.0
60,92,0.0
61,61,0.0
62,59,0.0
63,120,0.0
64,58,0.0
65,27,0.0
66,26,0.0
67,25,0.0
68,24,0.0
69,23,0.0
70,22,0.0
71,21,0.0
72,20,0.0
73,19,0.0
74,18,0.0
75,17,0.0
76,16,0.0
77,15,0.0
78,14,0.0
79,13,0.0
80,12,0.0
81,11,0.0
82,10,0.0
83,9,0.0
84,8,0.0
85,7,0.0
86,6,0.0
87,5,0.0
88,4,0.0
89,3,0.0
90,2,0.0
91,1,0.0
92,28,0.0
93,29,0.0
94,30,0.0
95,45,0.0
96,57,0.0
97,56,0.0
98,55,0.0
99,54,0.0
100,53,0.0
101,52,0.0
102,51,0.0
103,50,0.0
104,49,0.0
105,48,0.0
106,47,0.0
107,46,0.0
108,44,0.0
109,31,0.0
110,43,0.0
111,42,0.0
112,41,0.0
113,40,0.0
114,39,0.0
115,38,0.0
116,37,0.0
117,36,0.0
118,35,0.0
119,34,0.0
120,33,0.0
121,32,0.0
122,119,0.0
123,122,0.0
124,121,0.0
125,183,0.0
126,211,0.0
127,210,0.0
128,209,0.0
129,208,0.0
130,207,0.0
131,206,0.0
132,205,0.0
133,204,0.0
134,203,0.0
135,202,0.0
136,201,0.0
137,200,0.0
138,199,0.0
139,198,0.0
140,197,0.0
141,196,0.0
142,195,0.0
143,194,0.0
144,193,0.0
145,192,0.0
146,191,0.0
147,190,0.0
148,189,0.0
149,188,0.0
150,187,0.0
151,186,0.0
152,185,0.0
153,212,0.0
154,214,0.0
155,215,0.0
156,230,0.0
157,242,0.0
158,241,0.0
159,240,0.0
160,239,0.0
161,238,0.0
162,237,0.0
163,236,0.0
164,235,0.0
165,234,0.0
166,233,0.0
167,232,0.0
168,231,0.0
169,229,0.0
170,216,0.0
171,228,0.0
172,227,0.0
173,226,0.0
174,225,0.0
175,224,0.0
176,223,0.0
177,222,0.0
178,221,0.0
179,220,0.0
180,219,0.0
181,218,0.0
182,217,0.0
183,184,0.0
184,182,0.0
185,243,0.0
186,181,0.0
187,150,0.0
188,149,0.0
189,148,0.0
190,147,0.0
191,146,0.0
192,145,0.0
193,144,0.0
194,143,0.0
195,142,0.0
196,141,0.0
197,139,0.0
198,138,0.0
199,137,0.0
200,136,0.0
201,135,0.0
202,134,0.0
203,133,0.0
204,132,0.0
205,131,0.0
206,130,0.0
207,129,0.0
208,128,0.0
209,127,0.0
210,126,0.0
211,125,0.0
212,124,0.0
213,123,0.0
214,151,0.0
215,152,0.0
216,153,0.0
217,168,0.0
218,180,0.0
219,179,0.0
220,178,0.0
221,177,0.0
222,176,0.0
223,175,0.0
224,174,0.0
225,173,0.0
226,172,0.0
227,171,0.0
228,170,0.0
229,169,0.0
230,167,0.0
231,154,0.0
232,166,0.0
233,165,0.0
234,164,0.0
235,163,0.0
236,162,0.0
237,161,0.0
238,160,0.0
239,159,0.0
240,158,0.0
241,157,0.0
242,156,0.0
243,155,0.0
244,0,0.0
