Rank,Feature,Importance
0,114,0.5118584029741676
1,213,0.41471352270928735
2,140,0.016934761629424203
3,212,0.008847602401983373
4,69,0.00611788150600405
5,24,0.005359969494917567
6,101,0.004185174528341936
7,229,0.0031560410059488834
8,46,0.0027516082393384805
9,21,0.002345276254885388
10,107,0.0018990724365846776
11,206,0.0018348854993612397
12,42,0.0015458860239806877
13,207,0.0012946297757020996
14,17,0.0012726473494312368
15,147,0.0012693947192395354
16,20,0.0012238578385837834
17,18,0.0011661405004016136
18,172,0.0010988286707946952
19,67,0.0010944901353966393
20,32,0.000979627738815763
21,62,0.0008373535781220155
22,5,0.0007808114807511518
23,136,0.0007310583135884071
24,122,0.0006989845265067425
25,82,0.0005671977931879614
26,63,0.0005514381061281141
27,235,0.000497449840219237
28,128,0.00039857843285356887
29,230,0.0003762932620929951
30,65,0.00037569726719888284
31,156,0.0003541472989193409
32,120,0.0003486224800147923
33,177,0.0003259621110293939
34,11,0.00021268217746088595
35,100,0.00019792005554129233
36,121,0.00019023714331504364
37,73,0.00019018076042562644
38,150,0.00016907171400559496
39,97,0.00015827419281983984
40,113,0.00012364088205730843
41,37,0.00010638798561139846
42,111,0.00010619760840929967
43,225,8.924098835446666e-05
44,223,8.486459053153733e-05
45,54,7.215544851124472e-05
46,30,6.60533370255285e-05
47,36,5.950612202337268e-05
48,13,5.416168653037145e-05
49,29,5.077043887970076e-05
50,221,4.550756138486918e-05
51,171,3.710982599628705e-05
52,64,3.5454253136009885e-05
53,199,3.540579982971784e-05
54,94,2.9537167925847796e-05
55,165,2.941674077531887e-05
56,237,2.6104541575791276e-05
57,71,2.5605368719562857e-05
58,188,1.1217685950232994e-05
59,104,0.0
60,72,0.0
61,99,0.0
62,74,0.0
63,96,0.0
64,75,0.0
65,98,0.0
66,95,0.0
67,76,0.0
68,70,0.0
69,105,0.0
70,77,0.0
71,93,0.0
72,84,0.0
73,89,0.0
74,88,0.0
75,91,0.0
76,87,0.0
77,86,0.0
78,92,0.0
79,83,0.0
80,90,0.0
81,103,0.0
82,102,0.0
83,81,0.0
84,80,0.0
85,79,0.0
86,78,0.0
87,85,0.0
88,53,0.0
89,68,0.0
90,14,0.0
91,28,0.0
92,27,0.0
93,26,0.0
94,25,0.0
95,23,0.0
96,22,0.0
97,19,0.0
98,16,0.0
99,15,0.0
100,12,0.0
101,33,0.0
102,10,0.0
103,9,0.0
104,8,0.0
105,7,0.0
106,6,0.0
107,4,0.0
108,3,0.0
109,2,0.0
110,1,0.0
111,31,0.0
112,34,0.0
113,66,0.0
114,50,0.0
115,61,0.0
116,60,0.0
117,59,0.0
118,58,0.0
119,57,0.0
120,56,0.0
121,55,0.0
122,52,0.0
123,51,0.0
124,49,0.0
125,35,0.0
126,48,0.0
127,47,0.0
128,45,0.0
129,44,0.0
130,43,0.0
131,41,0.0
132,40,0.0
133,39,0.0
134,38,0.0
135,106,0.0
136,244,0.0
137,108,0.0
138,192,0.0
139,204,0.0
140,203,0.0
141,202,0.0
142,201,0.0
143,200,0.0
144,198,0.0
145,197,0.0
146,196,0.0
147,195,0.0
148,194,0.0
149,193,0.0
150,191,0.0
151,109,0.0
152,190,0.0
153,189,0.0
154,187,0.0
155,186,0.0
156,185,0.0
157,184,0.0
158,183,0.0
159,182,0.0
160,181,0.0
161,180,0.0
162,179,0.0
163,205,0.0
164,208,0.0
165,209,0.0
166,210,0.0
167,242,0.0
168,241,0.0
169,240,0.0
170,239,0.0
171,238,0.0
172,236,0.0
173,234,0.0
174,233,0.0
175,232,0.0
176,231,0.0
177,228,0.0
178,227,0.0
179,226,0.0
180,224,0.0
181,222,0.0
182,220,0.0
183,219,0.0
184,218,0.0
185,217,0.0
186,216,0.0
187,215,0.0
188,214,0.0
189,211,0.0
190,178,0.0
191,176,0.0
192,175,0.0
193,142,0.0
194,139,0.0
195,138,0.0
196,137,0.0
197,135,0.0
198,134,0.0
199,133,0.0
200,132,0.0
201,131,0.0
202,130,0.0
203,129,0.0
204,127,0.0
205,126,0.0
206,125,0.0
207,124,0.0
208,123,0.0
209,243,0.0
210,119,0.0
211,118,0.0
212,117,0.0
213,116,0.0
214,115,0.0
215,112,0.0
216,110,0.0
217,141,0.0
218,143,0.0
219,174,0.0
220,144,0.0
221,173,0.0
222,170,0.0
223,169,0.0
224,168,0.0
225,167,0.0
226,166,0.0
227,164,0.0
228,163,0.0
229,162,0.0
230,161,0.0
231,160,0.0
232,159,0.0
233,158,0.0
234,157,0.0
235,155,0.0
236,154,0.0
237,153,0.0
238,152,0.0
239,151,0.0
240,149,0.0
241,148,0.0
242,146,0.0
243,145,0.0
244,0,0.0
