Rank,Feature,Importance
0,101,0.051774551016523285
1,114,0.04819581733252218
2,121,0.036662157960785285
3,122,0.03604423694664931
4,69,0.03564107709625111
5,62,0.03489370634394439
6,46,0.033857295968425606
7,172,0.032846470901680226
8,63,0.03021632150334423
9,128,0.029602352548935677
10,140,0.029327991743426395
11,82,0.027657054245835228
12,150,0.026061468778379
13,107,0.025899828220930766
14,24,0.024831764063880546
15,32,0.02480270238087677
16,5,0.023310565213141295
17,113,0.023145367712334483
18,147,0.0223043472760365
19,65,0.02028030453362045
20,136,0.01738331134914914
21,11,0.015390679947602707
22,73,0.013827384586451587
23,18,0.013531962963100027
24,21,0.01321109986336239
25,111,0.011652941889478272
26,100,0.011544543603209938
27,171,0.009500822145116113
28,54,0.00948033692882374
29,2,0.008758415905090163
30,131,0.008648481260874443
31,71,0.007842271149641101
32,13,0.007195879385677112
33,17,0.0070328242691118925
34,97,0.0067038840204802965
35,105,0.005893964444979405
36,214,0.005818022753053006
37,74,0.005473478985354745
38,20,0.0054194861217429805
39,37,0.005082334254024894
40,222,0.004986655645823371
41,4,0.004852191304477718
42,61,0.004539255834439848
43,194,0.004444344826032849
44,213,0.004337847569045197
45,173,0.004210074283165349
46,205,0.0036113694991765314
47,155,0.0035805818097616486
48,221,0.003461655327241938
49,6,0.0034220580398632784
50,156,0.00333160314557645
51,144,0.0032931015441692102
52,67,0.00301289308290906
53,230,0.0028954122325314364
54,33,0.0028750722380853754
55,134,0.0028509161011122343
56,123,0.0028263114160916023
57,162,0.0028157080920770323
58,233,0.002775546696336798
59,59,0.0026325682474572236
60,204,0.0026291933072417183
61,217,0.002626620164798835
62,206,0.0025970819052392063
63,31,0.0025815101052429706
64,29,0.002526263554223426
65,55,0.002482463199972334
66,139,0.00247087499677924
67,137,0.0024522904927815627
68,218,0.0023749921104094336
69,226,0.002291257051666414
70,203,0.002277680329055305
71,64,0.0022768437945144358
72,212,0.0021945372816357216
73,41,0.002172276764775426
74,197,0.0021265363500809274
75,241,0.002103684673031841
76,85,0.0020599661244548374
77,196,0.0020569713688374
78,219,0.00204493686663095
79,42,0.0020281746937054505
80,200,0.0019348121343533012
81,103,0.001927634181287092
82,167,0.0019229703984426398
83,166,0.0018803061726000735
84,152,0.0018750233261513568
85,135,0.001812578063788861
86,148,0.0017712852823204479
87,43,0.0017424027419965676
88,26,0.001704011816113218
89,163,0.0016571380643279829
90,44,0.0016296771192998141
91,239,0.001614507049261815
92,28,0.0016065071012967358
93,159,0.0015980854696977063
94,189,0.0015799365413279576
95,14,0.0015509741998889005
96,201,0.0015493729912535658
97,160,0.0014931990690341098
98,161,0.0014868172823898156
99,232,0.0014863493524061733
100,87,0.0014862544437871932
101,185,0.0014810110971256612
102,177,0.001456790146156124
103,36,0.0014357565174352646
104,8,0.0014152368611769126
105,130,0.001400409177381666
106,108,0.0013843781736260256
107,57,0.0013474661686483842
108,242,0.0013240003998239494
109,91,0.0013046264194627
110,141,0.0012938615567896412
111,215,0.0012846770129329784
112,120,0.0012752333018387937
113,187,0.0012738308814010213
114,94,0.00126712936383443
115,53,0.001239563120271374
116,231,0.0011973824512130431
117,102,0.0011878680254054255
118,124,0.0011756200744821505
119,27,0.0011468540615031514
120,229,0.001146424755712699
121,15,0.001145579689420736
122,170,0.001138723979695216
123,191,0.0011180076786283656
124,77,0.0010527798670021194
125,235,0.0010510349597522817
126,83,0.0009961628253135624
127,95,0.0009722509887102757
128,75,0.0009622137675328968
129,96,0.0009440944216174957
130,90,0.0009089121825715463
131,157,0.0008703955268478909
132,216,0.0008046121053843075
133,149,0.0006667222458148907
134,165,0.0006472687879932539
135,70,0.0005994352083623341
136,112,0.0005490956926711291
137,0,0.00034791802113669196
138,106,0.0
139,208,0.0
140,202,0.0
141,199,0.0
142,30,0.0
143,198,0.0
144,195,0.0
145,193,0.0
146,34,0.0
147,35,0.0
148,192,0.0
149,190,0.0
150,38,0.0
151,39,0.0
152,40,0.0
153,188,0.0
154,186,0.0
155,184,0.0
156,183,0.0
157,45,0.0
158,182,0.0
159,47,0.0
160,48,0.0
161,49,0.0
162,50,0.0
163,207,0.0
164,25,0.0
165,52,0.0
166,209,0.0
167,1,0.0
168,240,0.0
169,3,0.0
170,238,0.0
171,237,0.0
172,236,0.0
173,7,0.0
174,234,0.0
175,9,0.0
176,10,0.0
177,228,0.0
178,12,0.0
179,227,0.0
180,225,0.0
181,224,0.0
182,16,0.0
183,223,0.0
184,220,0.0
185,19,0.0
186,211,0.0
187,210,0.0
188,22,0.0
189,23,0.0
190,51,0.0
191,181,0.0
192,109,0.0
193,80,0.0
194,138,0.0
195,133,0.0
196,84,0.0
197,132,0.0
198,86,0.0
199,129,0.0
200,88,0.0
201,89,0.0
202,127,0.0
203,126,0.0
204,92,0.0
205,93,0.0
206,125,0.0
207,243,0.0
208,119,0.0
209,118,0.0
210,98,0.0
211,99,0.0
212,117,0.0
213,116,0.0
214,115,0.0
215,110,0.0
216,104,0.0
217,81,0.0
218,79,0.0
219,180,0.0
220,78,0.0
221,179,0.0
222,56,0.0
223,178,0.0
224,58,0.0
225,176,0.0
226,60,0.0
227,175,0.0
228,174,0.0
229,169,0.0
230,168,0.0
231,164,0.0
232,66,0.0
233,158,0.0
234,68,0.0
235,154,0.0
236,153,0.0
237,151,0.0
238,72,0.0
239,146,0.0
240,145,0.0
241,143,0.0
242,76,0.0
243,142,0.0
244,244,0.0
