Rank,Feature,Importance
0,46,0.0730191950881564
1,101,0.06595658324191336
2,69,0.04390898100156074
3,24,0.042839630975101524
4,140,0.03915978807893476
5,121,0.03858348927398873
6,122,0.03840024921185285
7,5,0.037805993033555675
8,113,0.03757050437736757
9,114,0.0325372631054266
10,107,0.03235327726798905
11,32,0.031810162193575096
12,65,0.03164654358362727
13,62,0.030994354577577862
14,82,0.030596405796207513
15,11,0.02640159037074791
16,150,0.026255545134561582
17,172,0.025693141434992094
18,128,0.025121378005257777
19,136,0.023714297105867147
20,147,0.017454876806618533
21,63,0.01659271171282916
22,21,0.015102399760640506
23,100,0.014949791135550691
24,111,0.014857200586481541
25,71,0.01100927650774645
26,97,0.010519104589428
27,18,0.00933797267630751
28,17,0.008370999633718373
29,73,0.008143935554203723
30,131,0.007857735017038849
31,194,0.0062484654213816665
32,54,0.006075522687343404
33,120,0.005939918310275064
34,42,0.005821724649207456
35,20,0.005383582081345178
36,213,0.005289406800222568
37,13,0.004452681118676247
38,61,0.003380661747912851
39,193,0.003376530015023546
40,123,0.0032015589137265404
41,171,0.003176843435652418
42,222,0.0031421547896109936
43,235,0.002798199124871079
44,226,0.00271252136416942
45,219,0.0023194438670524065
46,196,0.002268003045838927
47,214,0.0021296696242387057
48,6,0.00208787738528277
49,240,0.002059677191418771
50,67,0.0019793391064504007
51,29,0.0019475780204684114
52,225,0.0019218065738800035
53,212,0.0019004034146986387
54,241,0.00187058278530055
55,218,0.0015487991340672753
56,205,0.0015419102447879346
57,187,0.0015194774543165223
58,177,0.0014824013476385524
59,165,0.001419902283739976
60,242,0.0014096009801109863
61,199,0.0012747987628052555
62,229,0.0012071423162797663
63,203,0.0011978492344056687
64,231,0.0011977133205279893
65,233,0.0011761870099952778
66,230,0.0011758373780450045
67,234,0.0011681502203796906
68,154,0.0011205862973527607
69,188,0.0010729587921312095
70,197,0.0010709805747216982
71,207,0.0009593935107850249
72,195,0.0008953574256671582
73,221,0.0008605867008131745
74,206,0.0007999436203251656
75,236,0.0007782501622087679
76,124,0.0007337124536124786
77,105,0.0006686114730577272
78,2,0.0006410717475068251
79,139,0.0006214466641258159
80,156,0.0005437347049670472
81,74,0.0005423195013646714
82,189,0.0005162630273307883
83,215,0.0005153730492464592
84,223,0.0005132009612332653
85,149,0.0004884380355670027
86,164,0.0004803330265412787
87,58,0.0004776420933203531
88,37,0.0004385455410947866
89,90,0.0004331743995888492
90,237,0.00040620328607796996
91,44,0.0004025104422141062
92,87,0.00038112071778431515
93,64,0.0003649172214612205
94,57,0.00036485972552576
95,43,0.0003528246111575397
96,232,0.000341404903736189
97,155,0.0003199627213821314
98,31,0.0003192281004670952
99,201,0.00031916693931800116
100,217,0.00031429891346071903
101,137,0.0003108356257185756
102,173,0.000295981127579817
103,157,0.0002819957051881209
104,92,0.000270311731302273
105,99,0.0002684685214662822
106,70,0.00026802369449942053
107,166,0.0002580535964252893
108,141,0.00025682690062490206
109,34,0.00025023096571845474
110,48,0.00024882973790280727
111,27,0.00024547630889099276
112,50,0.00023519825635668067
113,144,0.0002349226406980072
114,96,0.00023448280063752126
115,180,0.00023441239472613777
116,108,0.0002285051970938861
117,170,0.00022567491453445097
118,59,0.00022395151497696714
119,116,0.0002221707454003207
120,14,0.00021165534473343515
121,102,0.00020745735569368352
122,186,0.0002072406552531625
123,53,0.00020697063450729204
124,26,0.0002010774765139314
125,125,0.00019997332714883996
126,8,0.00019906153022891402
127,134,0.00019804713664402075
128,185,0.0001949361227718832
129,178,0.00019191672807798054
130,198,0.00018985448240148756
131,79,0.00018973294876224893
132,160,0.0001813621107792888
133,76,0.00017910272434782084
134,200,0.00017877887544193792
135,41,0.00017795825607347013
136,127,0.0001742508071340106
137,33,0.00016656347037866565
138,9,0.00016417673249109548
139,36,0.0001632753727819992
140,68,0.00015756068565951772
141,130,0.00015567448149139766
142,135,0.00014693078471609495
143,75,0.00014445084583310572
144,30,0.00014424514047285677
145,109,0.00012973166846769673
146,204,0.00012955613677165289
147,83,0.0001270856010740776
148,95,0.00012237750710931375
149,162,0.00012183036301672773
150,81,0.00012091243740698063
151,239,0.00011950181804186624
152,45,0.00011815978296025347
153,91,0.00011797900407062752
154,183,0.00011320972475945283
155,169,0.00010991806674202491
156,148,0.0001028518470801778
157,35,0.00010209074174717322
158,153,0.00010106698466860255
159,167,9.983951266772348e-05
160,49,9.933779078224976e-05
161,85,9.876412699860539e-05
162,47,9.493764105687608e-05
163,152,9.185883364182042e-05
164,103,8.949987699399707e-05
165,56,8.833237740007138e-05
166,216,8.743288866995311e-05
167,55,8.677721030712847e-05
168,115,8.445425970972164e-05
169,38,8.287061614766507e-05
170,179,8.161951384484855e-05
171,163,8.121485018144671e-05
172,60,8.103601072631116e-05
173,94,7.836008573096836e-05
174,4,7.568719145305225e-05
175,15,7.49092909132961e-05
176,23,7.052216102636131e-05
177,28,6.991012925149037e-05
178,112,6.746276062919029e-05
179,119,6.71273919855597e-05
180,161,6.485588341615777e-05
181,208,6.318023524656069e-05
182,7,6.27599062232179e-05
183,133,6.044987570180911e-05
184,132,6.008681340099403e-05
185,93,5.2330908077111554e-05
186,191,5.1703574746356745e-05
187,220,4.929233551981645e-05
188,16,4.2065821855524416e-05
189,84,4.099155152005913e-05
190,159,3.807485978634709e-05
191,0,3.6763475634101807e-05
192,52,3.6312175811875245e-05
193,142,3.255063943452621e-05
194,138,3.159165039394321e-05
195,77,2.7121761662796124e-05
196,72,2.548027267402957e-05
197,224,2.471029376223304e-05
198,174,1.7674262375691425e-05
199,10,1.766545086427691e-05
200,117,1.2545341248463966e-05
201,151,1.0240951410113261e-05
202,98,0.0
203,78,0.0
204,176,0.0
205,181,0.0
206,182,0.0
207,184,0.0
208,190,0.0
209,192,0.0
210,12,0.0
211,202,0.0
212,209,0.0
213,175,0.0
214,210,0.0
215,211,0.0
216,66,0.0
217,227,0.0
218,228,0.0
219,3,0.0
220,238,0.0
221,1,0.0
222,19,0.0
223,80,0.0
224,104,0.0
225,129,0.0
226,40,0.0
227,39,0.0
228,106,0.0
229,110,0.0
230,89,0.0
231,118,0.0
232,243,0.0
233,126,0.0
234,88,0.0
235,22,0.0
236,86,0.0
237,143,0.0
238,145,0.0
239,146,0.0
240,51,0.0
241,25,0.0
242,158,0.0
243,168,0.0
244,244,0.0
