Rank,Feature,Importance
0,101,0.043891107126413045
1,46,0.03986603027638443
2,69,0.033238515964882885
3,5,0.03159621703386474
4,24,0.02929532114132786
5,121,0.029043974945859585
6,65,0.028372230480260118
7,114,0.028013048560265104
8,140,0.027984279893153698
9,62,0.02778475911640903
10,107,0.027545706912803492
11,122,0.026865148831220875
12,32,0.02614104201856775
13,17,0.024960998640416735
14,113,0.024387796434616214
15,18,0.023423800301666166
16,21,0.022992557236298956
17,150,0.021357551525742903
18,111,0.021265449995905815
19,82,0.021120706442087172
20,172,0.02099153190088882
21,128,0.020912148920683892
22,11,0.020498149349609293
23,147,0.019583535505948615
24,100,0.019276397935054222
25,97,0.01892355680293204
26,136,0.018457319729143454
27,71,0.016293442517197144
28,73,0.01483612096138974
29,63,0.014036545762089106
30,20,0.013563261486533595
31,131,0.012884220582964323
32,61,0.009171153169386775
33,54,0.008753880109910673
34,120,0.007617090063082904
35,6,0.007031670497181843
36,214,0.006896257380984372
37,194,0.006792285782086534
38,222,0.006206783983784237
39,213,0.005797088432233966
40,196,0.005659764980347981
41,29,0.0055032197445763304
42,212,0.005458320061724944
43,42,0.005295094791891776
44,67,0.005238245347188499
45,193,0.004337593029799455
46,206,0.0043254228172083745
47,235,0.004034686748431918
48,225,0.003904865874205011
49,165,0.00379847703933575
50,241,0.003673974856167788
51,226,0.003643093745118
52,205,0.0033531899905778597
53,187,0.003302150867641843
54,207,0.0032420388928118145
55,236,0.0031871148183802026
56,197,0.0029891423943073127
57,221,0.0029522230840079077
58,219,0.0028903983315151007
59,231,0.0028176637617605437
60,199,0.002794259715587358
61,203,0.002666359251384735
62,240,0.0026414007233672428
63,229,0.002536069481744001
64,189,0.002506655082035827
65,230,0.0023826640919654253
66,186,0.002365529678863687
67,195,0.002331525600550286
68,188,0.0023143327603037
69,242,0.002195215284287995
70,234,0.0021187532178647394
71,177,0.0019471834670698022
72,185,0.0019458257922565392
73,215,0.0017810088219065423
74,237,0.0017015394367933044
75,218,0.0016848662936412274
76,223,0.001677567385843946
77,233,0.0016459262785215947
78,179,0.0016440315937976807
79,232,0.0016355630290465803
80,13,0.0014482405942721221
81,36,0.0011248812702022322
82,130,0.0010947501225362186
83,171,0.0010555200838573745
84,183,0.0010370034037728109
85,180,0.001011154415788682
86,220,0.0009855213554105778
87,201,0.0009736498342561115
88,123,0.0007837812424858956
89,204,0.0007777010293717864
90,116,0.0007594350012874991
91,148,0.00075820478415362
92,157,0.0007339299311082059
93,135,0.0006760087348979371
94,59,0.0006677432761108284
95,137,0.000656164329745535
96,139,0.0006511695225265379
97,239,0.0006488947073941964
98,134,0.00062933408493089
99,154,0.0006145682629987984
100,217,0.0006123656542840146
101,92,0.0005950212685092242
102,58,0.0005834837161110076
103,178,0.0005824159576521277
104,57,0.0005600618471182725
105,90,0.0005598882071476122
106,127,0.0005502004907927162
107,38,0.0005473573344150322
108,173,0.0005418536882525682
109,74,0.0005364962161680312
110,70,0.0004906528535665432
111,164,0.0004798700679660094
112,31,0.0004786478519574979
113,43,0.0004785051728922674
114,99,0.00047521778362380083
115,124,0.0004716937158059773
116,166,0.00046996911039373483
117,4,0.00045144616407421037
118,79,0.00045025946277585946
119,159,0.00044759832604520413
120,170,0.0004299959036565003
121,52,0.00041724252713293654
122,156,0.00041471434451137695
123,8,0.0004119003707573515
124,138,0.0004103206589085244
125,109,0.00040793777882544194
126,202,0.0003832795759406172
127,2,0.00038079832297699753
128,48,0.00037652718587801863
129,96,0.0003703610322767138
130,30,0.00035976112597994094
131,7,0.0003523974364392136
132,168,0.0003522809547917274
133,163,0.00034997651993288266
134,108,0.00033684397850759464
135,158,0.0003324981615463776
136,55,0.00032718889944633015
137,45,0.0003236392392691196
138,64,0.0003196978355625455
139,115,0.0003086595147233398
140,27,0.00030632656673967287
141,102,0.00030503932766887327
142,143,0.0003043761144165231
143,37,0.00030305163214771393
144,60,0.000295674309838106
145,34,0.00029224441577586387
146,105,0.00029041904052551094
147,19,0.00028949717034087394
148,155,0.00028415111820076874
149,224,0.0002820661343359813
150,144,0.00027859323886913833
151,151,0.0002764469225840539
152,93,0.00027526150984464443
153,133,0.0002705840756909219
154,91,0.00027008573408339264
155,161,0.00026994547085503216
156,87,0.0002693117338687425
157,191,0.00026462004738726173
158,49,0.0002641480822256956
159,14,0.00025877069164508134
160,75,0.00025785136676521853
161,153,0.0002549849487364591
162,44,0.0002548367399290813
163,50,0.00025404526732930577
164,68,0.0002491505855060739
165,146,0.00024860476931248127
166,72,0.0002435260684615237
167,86,0.0002421742237047419
168,112,0.0002416047288848375
169,76,0.00023697739985874597
170,149,0.00023211947023342328
171,132,0.0002261553824527938
172,66,0.00021207288329285392
173,167,0.0002080419710774228
174,119,0.00020142795656567523
175,77,0.00019965546192196674
176,35,0.00019219763984271192
177,103,0.00019055444620775402
178,169,0.00019030097442773692
179,41,0.000189759866534844
180,95,0.0001897222181091722
181,89,0.00018825083083575772
182,15,0.0001798274428741362
183,227,0.0001762140675931334
184,244,0.00016765503587371874
185,162,0.0001659197908569897
186,174,0.00016214694768796774
187,152,0.00016109411751133917
188,94,0.0001590108446565913
189,117,0.00015850979810504628
190,80,0.00015687212492303092
191,141,0.00015582142678350908
192,243,0.0001545833861802442
193,83,0.0001542194249807779
194,216,0.00014671260203268885
195,16,0.0001436657326837996
196,198,0.0001430161741530516
197,106,0.0001302827821905735
198,51,0.00012695953857258638
199,47,0.00012115491935365936
200,160,0.00011690271251294358
201,26,0.00011221201268457021
202,53,0.00011156205304650472
203,125,0.00010380071611899489
204,12,0.00010069505894727054
205,145,9.733189749706674e-05
206,126,9.258979407831389e-05
207,181,9.119022506768142e-05
208,10,8.463778600050608e-05
209,33,8.218763837374687e-05
210,104,8.160948755434555e-05
211,175,7.300276956203011e-05
212,176,6.859760252996746e-05
213,88,6.639165314274473e-05
214,9,6.525575599573198e-05
215,200,6.297824766955955e-05
216,208,5.984934454471466e-05
217,228,5.96214708927943e-05
218,142,5.577131221684574e-05
219,209,5.569177648763842e-05
220,56,5.0480354606551016e-05
221,98,4.626861656047762e-05
222,118,4.42506570267125e-05
223,40,4.014359109483974e-05
224,23,3.711786462643374e-05
225,85,3.22907055566695e-05
226,0,3.0042604522780875e-05
227,1,2.390029772309732e-05
228,81,2.332013575297604e-05
229,84,1.8838394791414636e-05
230,238,1.8378990667001506e-05
231,25,1.4792261666133173e-05
232,211,1.2715008728040613e-05
233,39,1.2260483466619137e-05
234,129,1.1838717638606757e-05
235,3,1.0007344520893131e-05
236,78,3.3612566441525373e-06
237,110,7.982388263865607e-07
238,28,5.453180204981737e-07
239,190,1.4224004834241278e-07
240,22,8.749754205652148e-09
241,210,0.0
242,184,0.0
243,182,0.0
244,192,0.0
