Rank,Feature,Importance
0,114,0.4292948588127809
1,214,0.11958458293720098
2,62,0.11100853487317423
3,69,0.047258938066569466
4,101,0.041943824225615364
5,196,0.031327550773893334
6,11,0.019470049518693137
7,128,0.01650648523364012
8,121,0.01607871680938419
9,63,0.015114968465230461
10,113,0.014954559506177809
11,203,0.013605377217432933
12,172,0.01112651087933811
13,5,0.010350623954132797
14,107,0.009027486871712235
15,241,0.0084489373062534
16,24,0.00825335210498021
17,46,0.00772644012595254
18,140,0.006383546304088209
19,32,0.005321584924634315
20,147,0.004407097061182753
21,122,0.004313930075520882
22,205,0.0036814039495397873
23,150,0.0035807736548941946
24,213,0.003435668467347988
25,65,0.003412475904297471
26,82,0.0030965355164758062
27,136,0.002659521678236302
28,74,0.002613601720609675
29,212,0.0024797403865920286
30,18,0.002314314585700099
31,111,0.0019358461762363135
32,54,0.0016440041410720496
33,71,0.0015893544927669887
34,17,0.0014136022931576881
35,21,0.0012716182458870203
36,131,0.0011879741715103396
37,100,0.001093176268494935
38,187,0.000901372976135751
39,197,0.0008418996349600466
40,194,0.0007810469651361176
41,97,0.0006640601630958421
42,231,0.0005859249698820282
43,215,0.0005834473594571396
44,233,0.000524061285173942
45,73,0.0005091979830305355
46,207,0.00048192727405326754
47,206,0.0004578339913476724
48,199,0.0004040835923703076
49,154,0.0003726061343793894
50,177,0.00034168443225152844
51,20,0.00033520173373062306
52,13,0.000293273461774929
53,61,0.0002460178778018444
54,6,0.0002124135054586313
55,219,0.00019525873601362276
56,235,0.00017854302370314944
57,120,0.00016706787145714063
58,222,0.0001620104611581105
59,42,0.0001607964963626586
60,230,0.00014989783056668717
61,189,0.00011756733787427108
62,2,0.00011330996914888149
63,229,0.00010176776704285683
64,240,0.00010136594799140844
65,164,9.830349057901411e-05
66,225,9.610731658581469e-05
67,226,9.125912863725097e-05
68,188,7.957367515153768e-05
69,43,7.166635571016514e-05
70,152,5.77565222170911e-05
71,234,5.280117360702112e-05
72,242,5.2146307496029174e-05
73,29,4.090452513179735e-05
74,204,3.886636869248626e-05
75,171,3.726417657766487e-05
76,170,3.404236613119062e-05
77,141,3.21402257091507e-05
78,165,3.010611989772015e-05
79,193,2.887063464142986e-05
80,30,2.849509136757202e-05
81,218,2.783523084082497e-05
82,117,2.4752223584592334e-05
83,183,2.270763601484015e-05
84,232,2.2704542221859803e-05
85,186,2.258173200383473e-05
86,236,2.2535712081662326e-05
87,185,2.2475409527616765e-05
88,149,2.1836403499588575e-05
89,90,1.4904708382611555e-05
90,93,1.4716918613816244e-05
91,157,1.1439523330314571e-05
92,45,0.0
93,14,0.0
94,76,0.0
95,75,0.0
96,9,0.0
97,10,0.0
98,12,0.0
99,72,0.0
100,15,0.0
101,77,0.0
102,16,0.0
103,19,0.0
104,70,0.0
105,22,0.0
106,8,0.0
107,79,0.0
108,78,0.0
109,25,0.0
110,80,0.0
111,81,0.0
112,7,0.0
113,4,0.0
114,3,0.0
115,83,0.0
116,1,0.0
117,84,0.0
118,85,0.0
119,86,0.0
120,87,0.0
121,88,0.0
122,23,0.0
123,68,0.0
124,44,0.0
125,55,0.0
126,47,0.0
127,41,0.0
128,40,0.0
129,48,0.0
130,39,0.0
131,49,0.0
132,50,0.0
133,51,0.0
134,52,0.0
135,53,0.0
136,38,0.0
137,37,0.0
138,89,0.0
139,56,0.0
140,67,0.0
141,35,0.0
142,57,0.0
143,58,0.0
144,59,0.0
145,60,0.0
146,34,0.0
147,33,0.0
148,31,0.0
149,28,0.0
150,27,0.0
151,64,0.0
152,26,0.0
153,66,0.0
154,36,0.0
155,244,0.0
156,91,0.0
157,158,0.0
158,190,0.0
159,184,0.0
160,182,0.0
161,181,0.0
162,180,0.0
163,179,0.0
164,178,0.0
165,176,0.0
166,175,0.0
167,174,0.0
168,173,0.0
169,169,0.0
170,168,0.0
171,167,0.0
172,166,0.0
173,163,0.0
174,162,0.0
175,161,0.0
176,160,0.0
177,191,0.0
178,192,0.0
179,195,0.0
180,220,0.0
181,239,0.0
182,238,0.0
183,237,0.0
184,228,0.0
185,227,0.0
186,224,0.0
187,223,0.0
188,221,0.0
189,217,0.0
190,198,0.0
191,216,0.0
192,211,0.0
193,210,0.0
194,209,0.0
195,208,0.0
196,202,0.0
197,201,0.0
198,200,0.0
199,159,0.0
200,156,0.0
201,92,0.0
202,155,0.0
203,243,0.0
204,119,0.0
205,118,0.0
206,116,0.0
207,115,0.0
208,112,0.0
209,110,0.0
210,109,0.0
211,108,0.0
212,106,0.0
213,105,0.0
214,104,0.0
215,103,0.0
216,102,0.0
217,99,0.0
218,98,0.0
219,96,0.0
220,95,0.0
221,94,0.0
222,123,0.0
223,124,0.0
224,125,0.0
225,139,0.0
226,153,0.0
227,151,0.0
228,148,0.0
229,146,0.0
230,145,0.0
231,144,0.0
232,143,0.0
233,142,0.0
234,138,0.0
235,126,0.0
236,137,0.0
237,135,0.0
238,134,0.0
239,133,0.0
240,132,0.0
241,130,0.0
242,129,0.0
243,127,0.0
244,0,0.0
