Rank,Feature,Importance
0,114,0.003300111800773815
1,24,0.002399856973326859
2,123,9.766001716044265e-05
3,207,8.590621346828295e-05
4,206,4.402042992136522e-05
5,140,2.7331158199802016e-05
6,212,2.20682587768709e-05
7,229,5.520075883920952e-06
8,131,5.215141180125855e-06
9,107,4.301605535575602e-06
10,17,2.9340704897276165e-06
11,82,2.551621816746788e-06
12,101,2.00793125778932e-06
13,149,1.2866790203980214e-07
14,120,1.1495408614804498e-07
15,97,1.1123306449098837e-07
16,6,8.289033046441411e-08
17,32,7.41179310700876e-08
18,156,2.8388944624876372e-09
19,84,0.0
20,83,0.0
21,85,0.0
22,81,0.0
23,80,0.0
24,79,0.0
25,244,0.0
26,78,0.0
27,77,0.0
28,76,0.0
29,87,0.0
30,75,0.0
31,74,0.0
32,73,0.0
33,72,0.0
34,71,0.0
35,70,0.0
36,69,0.0
37,68,0.0
38,67,0.0
39,66,0.0
40,65,0.0
41,86,0.0
42,92,0.0
43,88,0.0
44,89,0.0
45,113,0.0
46,112,0.0
47,111,0.0
48,110,0.0
49,109,0.0
50,108,0.0
51,106,0.0
52,105,0.0
53,104,0.0
54,103,0.0
55,102,0.0
56,100,0.0
57,99,0.0
58,98,0.0
59,96,0.0
60,95,0.0
61,94,0.0
62,93,0.0
63,63,0.0
64,91,0.0
65,90,0.0
66,64,0.0
67,58,0.0
68,62,0.0
69,15,0.0
70,29,0.0
71,28,0.0
72,27,0.0
73,26,0.0
74,25,0.0
75,23,0.0
76,22,0.0
77,21,0.0
78,20,0.0
79,19,0.0
80,18,0.0
81,16,0.0
82,14,0.0
83,31,0.0
84,13,0.0
85,12,0.0
86,11,0.0
87,10,0.0
88,9,0.0
89,8,0.0
90,7,0.0
91,5,0.0
92,4,0.0
93,3,0.0
94,2,0.0
95,1,0.0
96,30,0.0
97,33,0.0
98,61,0.0
99,48,0.0
100,60,0.0
101,59,0.0
102,116,0.0
103,57,0.0
104,56,0.0
105,55,0.0
106,54,0.0
107,53,0.0
108,52,0.0
109,51,0.0
110,50,0.0
111,49,0.0
112,47,0.0
113,34,0.0
114,46,0.0
115,45,0.0
116,44,0.0
117,43,0.0
118,42,0.0
119,41,0.0
120,40,0.0
121,39,0.0
122,38,0.0
123,37,0.0
124,36,0.0
125,35,0.0
126,115,0.0
127,122,0.0
128,117,0.0
129,197,0.0
130,211,0.0
131,210,0.0
132,209,0.0
133,208,0.0
134,205,0.0
135,204,0.0
136,203,0.0
137,202,0.0
138,201,0.0
139,200,0.0
140,199,0.0
141,198,0.0
142,196,0.0
143,182,0.0
144,195,0.0
145,194,0.0
146,193,0.0
147,192,0.0
148,191,0.0
149,190,0.0
150,189,0.0
151,188,0.0
152,187,0.0
153,186,0.0
154,185,0.0
155,184,0.0
156,213,0.0
157,214,0.0
158,215,0.0
159,216,0.0
160,242,0.0
161,241,0.0
162,240,0.0
163,239,0.0
164,238,0.0
165,237,0.0
166,236,0.0
167,235,0.0
168,234,0.0
169,233,0.0
170,232,0.0
171,231,0.0
172,230,0.0
173,228,0.0
174,227,0.0
175,226,0.0
176,225,0.0
177,224,0.0
178,223,0.0
179,222,0.0
180,221,0.0
181,220,0.0
182,219,0.0
183,218,0.0
184,217,0.0
185,183,0.0
186,181,0.0
187,118,0.0
188,135,0.0
189,148,0.0
190,147,0.0
191,146,0.0
192,145,0.0
193,144,0.0
194,143,0.0
195,142,0.0
196,141,0.0
197,139,0.0
198,138,0.0
199,137,0.0
200,136,0.0
201,134,0.0
202,180,0.0
203,133,0.0
204,132,0.0
205,130,0.0
206,129,0.0
207,128,0.0
208,127,0.0
209,126,0.0
210,125,0.0
211,124,0.0
212,243,0.0
213,121,0.0
214,119,0.0
215,150,0.0
216,151,0.0
217,152,0.0
218,153,0.0
219,179,0.0
220,178,0.0
221,177,0.0
222,176,0.0
223,175,0.0
224,174,0.0
225,173,0.0
226,172,0.0
227,171,0.0
228,170,0.0
229,169,0.0
230,168,0.0
231,167,0.0
232,166,0.0
233,165,0.0
234,164,0.0
235,163,0.0
236,162,0.0
237,161,0.0
238,160,0.0
239,159,0.0
240,158,0.0
241,157,0.0
242,155,0.0
243,154,0.0
244,0,0.0
