Rank,Feature,Importance
0,114,0.10197487328829676
1,24,0.035356956879807985
2,101,0.035022191551166086
3,46,0.03187874981386406
4,69,0.029894524320616102
5,140,0.027177772036441127
6,5,0.026941961171329604
7,107,0.02680593683118182
8,121,0.02633601036642581
9,65,0.025537383674860397
10,122,0.024822881798143844
11,113,0.02430260892354225
12,62,0.023929236519369547
13,32,0.02311927143195807
14,17,0.022628889010168525
15,11,0.022254831592711976
16,150,0.021987369063515137
17,147,0.021508479572610976
18,136,0.021311471389428065
19,128,0.02086856538957025
20,82,0.020337590569793448
21,21,0.020100305832510486
22,18,0.020069291339146738
23,111,0.018378477700681902
24,100,0.018047924130021153
25,172,0.01792092510305044
26,97,0.017087217009226476
27,63,0.016720543567664923
28,73,0.01505035465639619
29,71,0.01427436114615438
30,20,0.01297057517713624
31,131,0.012134895163225032
32,54,0.010980470213311248
33,61,0.008155008347500992
34,6,0.006888866708025565
35,194,0.00640381301265362
36,120,0.005698753126494599
37,193,0.005358221929963906
38,206,0.005013155115707348
39,222,0.004813887656020468
40,42,0.004652103814306483
41,213,0.004483589190213709
42,235,0.003981178224702015
43,212,0.0039292223255422195
44,242,0.0038804610899605117
45,221,0.0038672871118860946
46,241,0.003801520682494308
47,229,0.0036369084834788888
48,240,0.0036276343540297116
49,165,0.003594736122550109
50,219,0.003572121827284206
51,207,0.0034658089299753614
52,67,0.0033008333658244545
53,226,0.00321424835429214
54,236,0.0030909511254690126
55,225,0.002946544211152095
56,196,0.002929303019848707
57,29,0.002895539390938236
58,197,0.0028182509155223632
59,234,0.002655961766031517
60,199,0.002631424477995788
61,233,0.002614211448971814
62,218,0.0026057038989110138
63,231,0.0025408343877349805
64,187,0.00248916348394792
65,215,0.0022741289556780834
66,237,0.0022636055238846866
67,189,0.0022287844782860377
68,214,0.0021338845976636373
69,230,0.0020949723926393265
70,185,0.0020845185266081924
71,195,0.0018028383007853
72,217,0.0017994417346798987
73,232,0.0017701298079803563
74,223,0.0016823696747963282
75,186,0.0016644961301613454
76,179,0.0015998818574465717
77,177,0.0015608557580858203
78,130,0.0014835288838986494
79,188,0.0014347717167331406
