Rank,Feature,Importance
0,114,0.7441199063757542
1,24,0.15330164714852557
2,140,0.011949083944136935
3,212,0.007857728201805974
4,207,0.007680693252373333
5,206,0.007520285133517633
6,101,0.006286433327947078
7,107,0.00456484313163917
8,213,0.0038623958553991116
9,229,0.0035313291879653756
10,121,0.003352127947513255
11,5,0.003189678850109101
12,32,0.0030744327057938793
13,82,0.002811559481341574
14,69,0.002294840591718565
15,122,0.002095746154587739
16,136,0.0020927761217542076
17,46,0.0019876972792835517
18,205,0.001965070210133006
19,150,0.0018500319584004907
20,11,0.0018190810707939974
21,65,0.0012753730141006761
22,128,0.001057800183887032
23,20,0.001038003282989268
24,113,0.0009715312412964407
25,17,0.0009677163096084645
26,97,0.0009638725948506474
27,62,0.0009044220490517902
28,230,0.0008631407659566234
29,131,0.0008512093343987847
30,100,0.000840836867949193
31,21,0.0008030267480895745
32,73,0.0007309636246973752
33,147,0.0006832956944730043
34,18,0.0006471432157537435
35,203,0.000632046558956093
36,177,0.0005865721441198471
37,63,0.0005546077718078578
38,172,0.000545312248236873
39,214,0.0004449829404535899
40,185,0.0004319661543364841
41,111,0.00042520880779483493
42,4,0.00041844529515442774
43,222,0.00038992876816314377
44,179,0.0003368854355857442
45,241,0.00031676003676219477
46,71,0.0002852602841083218
47,156,0.00025340835471376416
48,108,0.00025264074908849517
49,157,0.00024899651461102835
50,144,0.00018428603645971825
51,133,0.0001828993849852316
52,120,0.00017791005565559117
53,165,0.00016424941025671499
54,54,0.00016093942976485494
55,79,0.0001607241596160496
56,19,0.00015040119542594977
57,60,0.00012796700839423799
58,183,0.0001271002738574377
59,153,0.00012532623477628973
60,50,0.0001249123738108153
61,225,0.000123850052095173
62,135,0.00011027274981884909
63,49,0.00010282278247755817
64,27,9.839422920905483e-05
65,6,9.818191974123604e-05
66,235,8.721249521432052e-05
67,61,8.706169227698115e-05
68,242,8.439544016576695e-05
69,138,8.053103785598447e-05
70,14,7.90490069749595e-05
71,231,7.742043109733249e-05
72,42,7.347980170434251e-05
73,240,7.077740326647157e-05
74,194,7.06288456919327e-05
75,193,6.900544316928532e-05
76,67,6.445830550628288e-05
77,186,6.239099036786555e-05
78,196,5.6618496937924986e-05
79,226,5.3144102235621e-05
80,29,5.139899365380985e-05
81,13,4.815245872159292e-05
82,217,4.7383002184854636e-05
83,239,4.609637733931739e-05
84,123,4.556011388356893e-05
85,171,4.396318459922445e-05
86,187,4.152655156536057e-05
87,48,3.916577001580173e-05
88,199,3.6803603766626484e-05
89,234,3.60904150854032e-05
90,197,3.249753944274748e-05
91,221,3.215260594767013e-05
92,232,3.114874471498348e-05
93,223,2.4553463895717552e-05
94,103,2.3402315976728497e-05
95,166,2.3148742015015657e-05
96,95,2.2395037569541016e-05
97,233,2.1324642046781234e-05
98,219,1.9555981546321535e-05
99,36,1.6911764592928404e-05
100,236,1.6604334214204443e-05
101,189,1.540177390538825e-05
102,215,1.5086071070706026e-05
103,84,1.129169791712034e-05
104,195,9.478577548786224e-06
105,237,9.458002882240843e-06
106,218,9.269921180279997e-06
107,58,8.875739875318856e-06
108,93,7.5201822977730904e-06
109,137,6.462909128016246e-06
110,164,5.8637371881424626e-06
111,180,5.212307717944709e-06
112,90,5.188432099298774e-06
113,116,5.164055806475826e-06
114,76,4.928316442998592e-06
115,127,4.800695829479048e-06
116,30,3.925155233108826e-06
117,68,3.914183152983483e-06
118,85,3.166887646442909e-06
119,66,0.0
120,16,0.0
121,15,0.0
122,12,0.0
123,9,0.0
124,3,0.0
125,70,0.0
126,2,0.0
127,10,0.0
128,72,0.0
129,8,0.0
130,74,0.0
131,75,0.0
132,77,0.0
133,78,0.0
134,7,0.0
135,22,0.0
136,47,0.0
137,64,0.0
138,23,0.0
139,45,0.0
140,44,0.0
141,41,0.0
142,40,0.0
143,39,0.0
144,38,0.0
145,51,0.0
146,37,0.0
147,52,0.0
148,53,0.0
149,35,0.0
150,34,0.0
151,55,0.0
152,56,0.0
153,33,0.0
154,57,0.0
155,80,0.0
156,59,0.0
157,31,0.0
158,28,0.0
159,26,0.0
160,25,0.0
161,1,0.0
162,43,0.0
163,244,0.0
164,81,0.0
165,154,0.0
166,182,0.0
167,181,0.0
168,178,0.0
169,176,0.0
170,175,0.0
171,174,0.0
172,173,0.0
173,170,0.0
174,169,0.0
175,168,0.0
176,167,0.0
177,163,0.0
178,162,0.0
179,161,0.0
180,160,0.0
181,159,0.0
182,158,0.0
183,184,0.0
184,188,0.0
185,190,0.0
186,210,0.0
187,238,0.0
188,228,0.0
189,227,0.0
190,224,0.0
191,220,0.0
192,216,0.0
193,211,0.0
194,209,0.0
195,191,0.0
196,208,0.0
197,204,0.0
198,202,0.0
199,201,0.0
200,200,0.0
201,198,0.0
202,192,0.0
203,155,0.0
204,152,0.0
205,83,0.0
206,151,0.0
207,112,0.0
208,110,0.0
209,109,0.0
210,106,0.0
211,105,0.0
212,104,0.0
213,102,0.0
214,99,0.0
215,98,0.0
216,96,0.0
217,94,0.0
218,92,0.0
219,91,0.0
220,89,0.0
221,88,0.0
222,87,0.0
223,86,0.0
224,115,0.0
225,117,0.0
226,118,0.0
227,139,0.0
228,149,0.0
229,148,0.0
230,146,0.0
231,145,0.0
232,143,0.0
233,142,0.0
234,141,0.0
235,134,0.0
236,119,0.0
237,132,0.0
238,130,0.0
239,129,0.0
240,126,0.0
241,125,0.0
242,124,0.0
243,243,0.0
244,0,0.0
